state,crop,pp_passes_low,pp_passes_base,pp_passes_high,n_farmers,source_title,source_url,source_grade,note
Andhra Pradesh,Rice,2.33,3.19,4.05,1292,"Ajay et al. 2022, CSISA Landscape Diagnostic Survey, rice, kharif 2018, CIMMYT Research Data & Software Repository Network, V3",https://hdl.handle.net/11529/10548656,A,"Derived per plot: low = herbicide count + 1 per yes (insecticide, fungicide); base = + 1.5 per yes; high = + 2 per yes (PAU sprays come in pairs 15 days apart). Survey is kharif 2018; applied to all rice seasons in the state."
Bihar,Rice,0.39,0.47,0.54,2428,"Ajay et al. 2022, CSISA Landscape Diagnostic Survey, rice, kharif 2018, CIMMYT Research Data & Software Repository Network, V3",https://hdl.handle.net/11529/10548656,A,"Derived per plot: low = herbicide count + 1 per yes (insecticide, fungicide); base = + 1.5 per yes; high = + 2 per yes (PAU sprays come in pairs 15 days apart). Survey is kharif 2018; applied to all rice seasons in the state."
Chhattisgarh,Rice,2.58,3.37,4.15,504,"Ajay et al. 2022, CSISA Landscape Diagnostic Survey, rice, kharif 2018, CIMMYT Research Data & Software Repository Network, V3",https://hdl.handle.net/11529/10548656,A,"Derived per plot: low = herbicide count + 1 per yes (insecticide, fungicide); base = + 1.5 per yes; high = + 2 per yes (PAU sprays come in pairs 15 days apart). Survey is kharif 2018; applied to all rice seasons in the state."
Haryana,Rice,1.58,1.96,2.35,417,"Ajay et al. 2022, CSISA Landscape Diagnostic Survey, rice, kharif 2018, CIMMYT Research Data & Software Repository Network, V3",https://hdl.handle.net/11529/10548656,A,"Derived per plot: low = herbicide count + 1 per yes (insecticide, fungicide); base = + 1.5 per yes; high = + 2 per yes (PAU sprays come in pairs 15 days apart). Survey is kharif 2018; applied to all rice seasons in the state."
Odisha,Rice,1.34,1.84,2.35,784,"Ajay et al. 2022, CSISA Landscape Diagnostic Survey, rice, kharif 2018, CIMMYT Research Data & Software Repository Network, V3",https://hdl.handle.net/11529/10548656,A,"Derived per plot: low = herbicide count + 1 per yes (insecticide, fungicide); base = + 1.5 per yes; high = + 2 per yes (PAU sprays come in pairs 15 days apart). Survey is kharif 2018; applied to all rice seasons in the state."
Punjab,Rice,2.98,3.96,4.95,388,"Ajay et al. 2022, CSISA Landscape Diagnostic Survey, rice, kharif 2018, CIMMYT Research Data & Software Repository Network, V3",https://hdl.handle.net/11529/10548656,A,"Derived per plot: low = herbicide count + 1 per yes (insecticide, fungicide); base = + 1.5 per yes; high = + 2 per yes (PAU sprays come in pairs 15 days apart). Survey is kharif 2018; applied to all rice seasons in the state."
Uttar Pradesh,Rice,0.88,1.00,1.12,964,"Ajay et al. 2022, CSISA Landscape Diagnostic Survey, rice, kharif 2018, CIMMYT Research Data & Software Repository Network, V3",https://hdl.handle.net/11529/10548656,A,"Derived per plot: low = herbicide count + 1 per yes (insecticide, fungicide); base = + 1.5 per yes; high = + 2 per yes (PAU sprays come in pairs 15 days apart). Survey is kharif 2018; applied to all rice seasons in the state."
West Bengal,Rice,1.77,2.38,2.99,1536,"Ajay et al. 2022, CSISA Landscape Diagnostic Survey, rice, kharif 2018, CIMMYT Research Data & Software Repository Network, V3",https://hdl.handle.net/11529/10548656,A,"Derived per plot: low = herbicide count + 1 per yes (insecticide, fungicide); base = + 1.5 per yes; high = + 2 per yes (PAU sprays come in pairs 15 days apart). Survey is kharif 2018; applied to all rice seasons in the state."
