district_key,district_name,state,season,sprayable_acres,pp_spray_acres_low,pp_spray_acres_base,pp_spray_acres_high,rank_national,rank_national_low,rank_national_high,rank_in_state,decile,top_crop_1,top_crop_1_share_pct,top_crop_2,top_crop_2_share_pct,top_crop_3,top_crop_3_share_pct,open_crop_share_pct,unit_key,unit_district_count,unit_yoy_area_change_pct,unit_area_ma3_acres
Arunachal Pradesh:Upper Subansiri,Upper Subansiri,Arunachal Pradesh,Kharif,13793.122,21284.99632,29522.37134,53146.268,1329,1292,1347,14,8,Rice,81.04212247876968,Maize,14.145171307231447,Soybean,2.1845501249629633,15.166302016984249,Arunachal Pradesh:Kamle,3,0.3754489063010121,45407.096
Arunachal Pradesh:Upper Subansiri,Upper Subansiri,Arunachal Pradesh,Rabi,1287.391,1093.02214,2036.67233,3662.022,1713,1717,1727,41,10,Maize,87.83955934629897,Rice,10.267765065576356,Rapeseed & Mustard,1.892675588124674,87.83955934629897,Arunachal Pradesh:Kamle,3,0.3754489063010121,45407.096
Arunachal Pradesh:West Kameng,West Kameng,Arunachal Pradesh,Kharif,9004.324,10928.19518,18766.52841,30099.251,1418,1426,1462,21,8,Maize,66.83599505445237,Rice,27.515336332789534,Soybean,5.648668612758091,66.83599505445237,Arunachal Pradesh:West Kameng,1,-0.826561324303988,13079.05242
Arunachal Pradesh:West Kameng,West Kameng,Arunachal Pradesh,Rabi,4022.93626,3543.5331022,5141.6523522,9736.03652,1614,1601,1636,29,9,Maize,60.93815344515389,Wheat,35.10519184416826,Rice,2.6071725744476324,60.93815344515389,Arunachal Pradesh:West Kameng,1,-0.826561324303988,13079.05242
Arunachal Pradesh:West Siang,West Siang,Arunachal Pradesh,Kharif,16874.459,27405.56448,36427.63026,66697.232,1275,1227,1286,11,7,Rice,94.4716003055204,Maize,4.300620130429533,Soybean,0.5290983756679867,4.476986255652195,Arunachal Pradesh:East Siang,6,0.1274196350999131,141427.95681
Arunachal Pradesh:West Siang,West Siang,Arunachal Pradesh,Rabi,2159.654,1142.36801,2027.82615,5329.947,1714,1715,1699,42,10,Maize,83.10485590690307,Rice,8.990434411746786,Rapeseed & Mustard,7.904709681350149,83.10485590690307,Arunachal Pradesh:East Siang,6,0.1274196350999131,141427.95681
Assam:Baksa,Baksa,Assam,Kharif,215693.36761,356773.20994,466886.366604,860840.92605,450,449,456,4,3,Rice,99.34532518346322,Maize,0.4710332443408637,Sugarcane,0.1799452843549367,0.4710332443408637,Assam:Baksa,1,-0.9850992737948084,259148.52187
Assam:Baksa,Baksa,Assam,Rabi,30838.08,5971.1715,7725.5815,63788.865,1563,1514,1303,79,9,Rapeseed & Mustard,48.066528066528065,Maize,23.668639053254438,Gram,12.474012474012474,45.41819926435311,Assam:Baksa,1,-0.9850992737948084,259148.52187
Assam:Baksa,Baksa,Assam,Summer,6824.902,11244.5326,14788.1937,27299.608,1456,1420,1478,67,8,Rice,98.26223536685214,Moong,1.7377646331478604,,,1.7377646331478604,Assam:Baksa,1,-0.9850992737948084,259148.52187
Assam:Barpeta,Barpeta,Assam,Kharif,151662.567,249869.69448,327857.37026,603786.379,607,608,609,16,4,Rice,98.48585407853933,Maize,1.2812583705739873,Sugarcane,0.23288755088668356,1.2812583705739873,Assam:Barpeta,1,0.03205764269467385,326340.8516666667
Assam:Barpeta,Barpeta,Assam,Rabi,59089.023,14735.93205,20246.26205,124375.314,1411,1379,1132,66,8,Maize,45.767707526041825,Rapeseed & Mustard,32.674725851431916,Wheat,12.89221399759567,54.43306015097241,Assam:Barpeta,1,0.03205764269467385,326340.8516666667
Assam:Barpeta,Barpeta,Assam,Summer,113087.786,187182.64838,245260.61231,452351.144,728,718,736,26,4,Rice,99.32900518167185,Moong,0.6709948183281529,,,0.6709948183281529,Assam:Barpeta,1,0.03205764269467385,326340.8516666667
Assam:Biswanath,Biswanath,Assam,Kharif,136053.5071,222992.77574,293042.24047,539902.3805,645,656,659,21,4,Rice,97.50790458457895,Maize,1.9663963771086166,Sugarcane,0.49918810259361107,1.9663963771086166,Assam:Biswanath,2,-5.342717330267134,452859.28044
Assam:Biswanath,Biswanath,Assam,Rabi,20210.309,6488.32709,9542.48309,44675.68,1526,1498,1387,75,9,Maize,30.555778537931893,Moong,25.169675202432032,Rapeseed & Mustard,21.419859702366,64.01176656420986,Assam:Biswanath,2,-5.342717330267134,452859.28044
Assam:Biswanath,Biswanath,Assam,Summer,12451.369,20390.39548,26947.63876,49805.476,1350,1304,1368,58,8,Rice,96.86398497647072,Moong,3.1360150235292825,,,3.1360150235292825,Assam:Biswanath,2,-5.342717330267134,452859.28044
Assam:Bongaigaon,Bongaigaon,Assam,Kharif,115852.835,188868.06806,249949.23597,458187.646,719,715,730,25,4,Rice,96.04559703427687,Maize,3.7290019966769177,Sugarcane,0.22540096904621876,3.7290019966769177,Assam:Bongaigaon,1,1.0020876826722338,177850.225
Assam:Bongaigaon,Bongaigaon,Assam,Rabi,27877.822,13251.82474,23244.54874,67428.648,1375,1396,1280,63,8,Maize,66.29148267130438,Moong,14.457411230432001,Rapeseed & Mustard,9.38073379866354,85.97907502333383,Assam:Bongaigaon,1,1.0020876826722338,177850.225
Assam:Bongaigaon,Bongaigaon,Assam,Summer,35589.813,58695.83748,77131.17776,142359.252,1089,1061,1089,40,6,Rice,98.49429240713309,Moong,1.5057075928669186,,,1.5057075928669186,Assam:Bongaigaon,1,1.0020876826722338,177850.225
Assam:Cachar,Cachar,Assam,Kharif,199334.18624,330724.71866,432262.571286,797199.4562,484,481,482,6,3,Rice,99.74958822532803,Cotton,0.13779804580996155,Sugarcane,0.0657389787773197,0.046874750084697527,Assam:Cachar,1,-2.2383768168276608,233669.65374666668
Assam:Cachar,Cachar,Assam,Rabi,5305.237,1357.96276,2047.37176,11579.106,1711,1698,1622,90,10,Maize,34.75910012551897,Rapeseed & Mustard,28.790914357439412,Moong,27.276238292941972,67.34575649319301,Assam:Cachar,1,-2.2383768168276608,233669.65374666668
Assam:Cachar,Cachar,Assam,Summer,9429.336,15610.2954,20450.7373,37717.344,1407,1367,1426,64,8,Rice,99.37169991421287,Moong,0.6283000857871271,,,0.6283000857871271,Assam:Cachar,1,-2.2383768168276608,233669.65374666668
Assam:Charaideo,Charaideo,Assam,Kharif,83354.243,138229.42028,180756.51636,333206.937,843,813,840,33,5,Rice,99.81545063673632,Maize,0.13670323204717463,Sugarcane,0.04784613121651113,0.13670323204717463,Assam:Charaideo,2,1.4007528930613005,264228.1483333333
Assam:Charaideo,Charaideo,Assam,Rabi,6412.245,1062.2829,1282.2019,13140.778,1745,1720,1609,94,10,Rapeseed & Mustard,62.33185584891116,Maize,19.27153594141453,Moong,15.031798034303334,34.30333397571786,Assam:Charaideo,2,1.4007528930613005,264228.1483333333
Assam:Charaideo,Charaideo,Assam,Summer,390.418,511.10164,811.92118,1561.672,1770,1769,1785,97,10,Moong,51.12910097997444,Rice,48.87089902002556,,,51.12910097997444,Assam:Charaideo,2,1.4007528930613005,264228.1483333333
Assam:Chirang,Chirang,Assam,Kharif,91098.357,149858.2428,197235.4671,362325.201,820,786,811,31,5,Rice,97.95164375890283,Maize,1.9994963674563173,Sugarcane,0.048859873640849864,1.9994963674563173,Assam:Chirang,1,0.6943470332444943,136735.256
Assam:Chirang,Chirang,Assam,Rabi,45963.071,14346.18122,23614.90222,102410.595,1373,1384,1185,61,8,Maize,66.52840589233658,Rapeseed & Mustard,19.99891177190739,Moong,10.296311953139224,78.49891491102689,Assam:Chirang,1,0.6943470332444943,136735.256
Assam:Chirang,Chirang,Assam,Summer,4843.16,7436.2274,10354.2313,19372.64,1511,1486,1545,73,9,Rice,82.34016657518555,Moong,17.65983342481445,,,17.65983342481445,Assam:Chirang,1,0.6943470332444943,136735.256
Assam:Darrang,Darrang,Assam,Kharif,150403.49366,234347.46552,321181.578284,578400.0663,621,630,631,19,4,Rice,85.92826038608096,Maize,13.680523719560066,Sugarcane,0.38852010338419934,13.680523719560066,Assam:Darrang,1,1.6691019043684032,257961.24755333332
Assam:Darrang,Darrang,Assam,Rabi,73722.285,29116.0401,51476.1191,170901.773,1191,1210,1045,45,7,Maize,82.2768707907508,Rapeseed & Mustard,12.94751849309479,Moong,4.262652349019062,86.8755430321475,Assam:Darrang,1,1.6691019043684032,257961.24755333332
Assam:Darrang,Darrang,Assam,Summer,43408.057,71581.1635,94072.82325,173632.228,1045,1005,1038,37,6,Rice,98.46601393458232,Moong,1.5339860654176762,,,1.5339860654176762,Assam:Darrang,1,1.6691019043684032,257961.24755333332
Assam:Dhemaji,Dhemaji,Assam,Kharif,183456.25683,302564.85672,397137.938862,730846.80515,529,521,517,10,3,Rice,98.59136465077341,Maize,1.2804916132092528,Sugarcane,0.11510736075982107,1.2804916132092528,Assam:Dhemaji,1,-7.807742380905415,230441.11927666666
Assam:Dhemaji,Dhemaji,Assam,Rabi,38092.936,5499.90238,6048.46438,76820.919,1595,1527,1251,81,9,Rapeseed & Mustard,80.51377166248601,Maize,15.197444214757862,Moong,2.8597341264329312,18.13888503051745,Assam:Dhemaji,1,-7.807742380905415,230441.11927666666
Assam:Dhemaji,Dhemaji,Assam,Summer,9424.394,15531.9647,20421.95015,37697.576,1408,1370,1427,65,8,Rice,98.33023782011337,Moong,1.6697621798866256,,,1.6697621798866256,Assam:Dhemaji,1,-7.807742380905415,230441.11927666666
Assam:Dhubri,Dhubri,Assam,Kharif,100532.635,157534.45372,214420.62964,387964.297,785,774,791,29,5,Rice,87.40533546359751,Maize,11.975821563024489,Sugarcane,0.6188429733779975,11.975821563024489,Assam:Dhubri,2,9.769464785287328,324387.938
